198,可可西里,8.7
199,谍影重重2,8.6
200,牯岭街少年杀人事件,8.8
201,谍影重重,8.5
202,战争之王,8.6
203,地球上的星星,8.9
204,惊魂记,8.9
205,疯狂的石头,8.4
206,青蛇,8.5
207,初恋这件小事,8.3
208,终结者2：审判日,8.6
209,步履不停,8.8
210,源代码,8.4
211,一次别离,8.7
212,追随,8.9
213,新龙门客栈,8.5
214,小萝莉的猴神大叔,8.5
215,爱在午夜降临前,8.8
216,再次出发之纽约遇见你,8.5
217,撞车,8.6
218,无耻混蛋,8.5
219,功夫,8.3
220,梦之安魂曲,8.7
221,城市之光,9.3
222,东京物语,9.2
223,彗星来的那一夜,8.5
224,绿里奇迹,8.7
225,血钻,8.6
226,2001太空漫游,8.7
227,奇迹男孩,8.6
228,聚焦,8.8
229,这个男人来自地球,8.5
230,E.T. 外星人,8.5
231,末路狂花,8.7
232,发条橙,8.5
233,变脸,8.4
234,黑鹰坠落,8.6
235,勇闯夺命岛,8.6
236,疯狂的麦克斯4：狂暴之路,8.6
237,黄金三镖客,9.1
238,我爱你,9.0
239,秒速5厘米,8.3
240,国王的演讲,8.4
241,非常嫌疑犯,8.6
242,千钧一发,8.7
243,遗愿清单,8.6
244,卡萨布兰卡,8.6
245,头号玩家,8.7
246,新世界,8.7
247,釜山行,8.4
248,驴得水,8.3
249,美国丽人,8.5
250,四个春天,8.9
